sentence,inference,model,label
GOP Climate Change Denial Set The Stage For Trump's Coronavirus Conspiracies,"The writer is implying that trump is lying about climate change
",t5_large,real
Mounting Climate Impacts Threaten U.S. Nuclear Reactors,"The writer is implying that nuclear energy is bad for the environment
",gpt2_large,real
Mounting Climate Impacts Threaten U.S. Nuclear Reactors,"The writer is implying that nuclear reactors are being damaged by climate change
",t5_base,real
Mounting Climate Impacts Threaten U.S. Nuclear Reactors,"The writer is implying that nuclear power is being affected by climate change
",t5_large,real
Herd Immunity Threshold Could Be As Low As 43%,"The writer is implying that herd immunity might be low
",gpt2_large,real
Herd Immunity Threshold Could Be As Low As 43%,"The writer is implying that herd immunity might be as low as 43%
",t5_base,real
Herd Immunity Threshold Could Be As Low As 43%,"The writer is implying that herd immunity threshold could be low
",t5_large,real
"Over 31,000 scientists signed the OISM Petition Project.","The writer is implying that scientists believe in climate change
",gpt2_large,real
"Over 31,000 scientists signed the OISM Petition Project.","The writer is implying that scientists signed the oism petition
",t5_base,real
"Over 31,000 scientists signed the OISM Petition Project.","The writer is implying that scientists are concerned about covid
",t5_large,real
Early CDC COVID-19 Test Kits 'Likely Contaminated',"The writer is implying that covid 19 tests are unsafe
",gpt2_large,real
Early CDC COVID-19 Test Kits 'Likely Contaminated',"The writer is implying that early cdc covid-19 test kits were likely contagious
",t5_base,real
Early CDC COVID-19 Test Kits 'Likely Contaminated',"The writer is implying that early cdc covid-19 test kits are likely to contain covid
",t5_large,real
"Top Environmental Group Faces Upheaval Over Board's Ties To Jeffrey Epstein, Trump","The writer is implying that the epa is corrupt
",gpt2_large,real
"Top Environmental Group Faces Upheaval Over Board's Ties To Jeffrey Epstein, Trump","The writer is implying that trump and jeff epstein have different views on climate change
",t5_base,real
"Top Environmental Group Faces Upheaval Over Board's Ties To Jeffrey Epstein, Trump","The writer is implying that trump is bad for the environment
",t5_large,real
"When Loved One Is in ICU, Spouse Sees Health Risks","The writer is implying that covid-19 can be transmitted through loved ones
",gpt2_large,real
"When Loved One Is in ICU, Spouse Sees Health Risks","The writer is implying that icu is dangerous for spouses
",t5_base,real
"When Loved One Is in ICU, Spouse Sees Health Risks","The writer is implying that a loved one is in the icu
",t5_large,real
60% of Americans Have an Underlying Condition That Increases COVID-19 Risk,"The writer is implying that many people have underlying conditions that increase covid risk
",gpt2_large,real
60% of Americans Have an Underlying Condition That Increases COVID-19 Risk,"The writer is implying that some people are more susceptible to covid than others
",t5_base,real
60% of Americans Have an Underlying Condition That Increases COVID-19 Risk,"The writer is implying that most americans have underlying conditions that make them more susceptible to covid
",t5_large,real
Scientists to study how Arctic's oil-polluted soil reacts to climate change,"The writer is implying that scientists are studying how the arctic's oil pollution is reacting to climate change
",gpt2_large,real
Scientists to study how Arctic's oil-polluted soil reacts to climate change,"The writer is implying that the arctic's oil-polluted soil reacts to climate change
",t5_base,real
Scientists to study how Arctic's oil-polluted soil reacts to climate change,"The writer is implying that soil in the arctic is being affected by climate change
",t5_large,real
"Power Up: On 50th anniversary of Earth Day, EPA head says climate change 'not the only environmental issue that we face as a planet'","The writer is implying that the epa head says climate change is an important issue
",gpt2_large,real
"Power Up: On 50th anniversary of Earth Day, EPA head says climate change 'not the only environmental issue that we face as a planet'","The writer is implying that epa head says climate change is not the only issue we face as a planet
",t5_base,real
"Power Up: On 50th anniversary of Earth Day, EPA head says climate change 'not the only environmental issue that we face as a planet'","The writer is implying that climate change isn't the only environmental issue we face
",t5_large,real
"Colorado regulators OK rules aimed at cutting pollution, greenhouse gases from well sites","The writer is implying that the state government cares about the environment
",gpt2_large,real
"Colorado regulators OK rules aimed at cutting pollution, greenhouse gases from well sites","The writer is implying that the government is taking action on climate change
",t5_base,real
"Colorado regulators OK rules aimed at cutting pollution, greenhouse gases from well sites","The writer is implying that the government is taking steps to reduce pollution
",t5_large,real
Climate change: Emissions edge up despite drop in coal,"The writer is implying that emissions are increasing despite a drop in coal
",gpt2_large,real
Climate change: Emissions edge up despite drop in coal,"The writer is implying that co2 emissions are rising
",t5_base,real
Climate change: Emissions edge up despite drop in coal,"The writer is implying that emissions are going up despite drop in coal
",t5_large,real
"Small increases in average temperature translate to big increases in the number of extremely hot days, and those hot days have a big impact.","The writer is implying that temperatures are increasing due to climate change
",gpt2_large,real
"Small increases in average temperature translate to big increases in the number of extremely hot days, and those hot days have a big impact.","The writer is implying that people can be affected by global warming
",t5_base,real
"Small increases in average temperature translate to big increases in the number of extremely hot days, and those hot days have a big impact.","The writer is implying that hotter days are a sign of climate change
",t5_large,real
"In 11th House District race, Foster and Laib differ greatly on climate change","The writer is implying that foster and laib do not agree on climate change
",gpt2_large,real
"In 11th House District race, Foster and Laib differ greatly on climate change","The writer is implying that laib and foster differ on climate change
",t5_base,real
"In 11th House District race, Foster and Laib differ greatly on climate change","The writer is implying that laib and foster don't agree on climate change
",t5_large,real
Meet the Millennial Farmers We'll Be Counting on to Endure Climate Change,"The writer is implying that farmers will be affected by climate change
",gpt2_large,real
Meet the Millennial Farmers We'll Be Counting on to Endure Climate Change,"The writer is implying that millennial farmers will be able to end climate change
",t5_base,real
Meet the Millennial Farmers We'll Be Counting on to Endure Climate Change,"The writer is implying that millennial farmers will fight climate change
",t5_large,real
German farmers set bonfires across the country in protest at being 'ignored' in climate drive,"The writer is implying that the government doesn't care about the environment
",gpt2_large,real
German farmers set bonfires across the country in protest at being 'ignored' in climate drive,"The writer is implying that german farmers care about climate change
",t5_base,real
German farmers set bonfires across the country in protest at being 'ignored' in climate drive,"The writer is implying that farmers are protesting climate change in germany
",t5_large,real
First Protocol on How to Use Lung Ultrasound to Triage COVID-19,"The writer is implying that there is a new way to treat covid
",gpt2_large,real
First Protocol on How to Use Lung Ultrasound to Triage COVID-19,"The writer is implying that lung ultrasound can treat covid
",t5_base,real
First Protocol on How to Use Lung Ultrasound to Triage COVID-19,"The writer is implying that there are new remedies to treat covid
",t5_large,real
Sri Lanka assessing environment damage from oil tanker fire,"The writer is implying that the government is taking climate change seriously
",gpt2_large,real
Sri Lanka assessing environment damage from oil tanker fire,"The writer is implying that sri lanka is worried about the environment
",t5_base,real
Sri Lanka assessing environment damage from oil tanker fire,"The writer is implying that oil tanker fires in sri lanka
",t5_large,real
Coronaviruses and heart health,"The writer is implying that coronavirus can be transmitted through heart health
",gpt2_large,real
Coronaviruses and heart health,"The writer is implying that coronavirus affects heart health
",t5_base,real
Coronaviruses and heart health,"The writer is implying that covid-19 can affect heart health
",t5_large,real
Extinction Rebellion protests - live: Climate activists shut down parts of central London as police arrest more than 140 demonstrators,"The writer is implying that climate activists are disruptive
",gpt2_large,real
Extinction Rebellion protests - live: Climate activists shut down parts of central London as police arrest more than 140 demonstrators,"The writer is implying that climate activists are protesting in london
",t5_base,real
Extinction Rebellion protests - live: Climate activists shut down parts of central London as police arrest more than 140 demonstrators,"The writer is implying that extinction rebellion protests shut down central london
",t5_large,real
What If Flu and COVID-19 Overlap? Australia Is Trying to Avoid That Scenario,"The writer is implying that the government is trying to avoid a situation like australia
",gpt2_large,real
What If Flu and COVID-19 Overlap? Australia Is Trying to Avoid That Scenario,"The writer is implying that australia is trying to prevent covid and flu
",t5_base,real
What If Flu and COVID-19 Overlap? Australia Is Trying to Avoid That Scenario,"The writer is implying that australia is trying to avoid covid and flu
",t5_large,real
New Coronavirus Stable for Hours on Surfaces,"The writer is implying that covid-19 can be spread through surfaces
",gpt2_large,real
New Coronavirus Stable for Hours on Surfaces,"The writer is implying that coronavirus can be spread easily on surfaces
",t5_base,real
New Coronavirus Stable for Hours on Surfaces,"The writer is implying that covid can be spread on surfaces
",t5_large,real
"As Climate Talks Begin, U.N. Chief Warns Against 'Fiddling' While The Planet Burns","The writer is implying that the un chief is worried about climate change
",gpt2_large,real
"As Climate Talks Begin, U.N. Chief Warns Against 'Fiddling' While The Planet Burns","The writer is implying that the un chief is worried about fiddling while the planet is burning
",t5_base,real
"As Climate Talks Begin, U.N. Chief Warns Against 'Fiddling' While The Planet Burns","The writer is implying that climate change is causing natural disasters
",t5_large,real
'Are a cow's farts the worst for the planet?' Children's climate questions answered,"The writer is implying that children care about climate change
",gpt2_large,real
'Are a cow's farts the worst for the planet?' Children's climate questions answered,"The writer is implying that cow farts are bad for the environment
",t5_base,real
'Are a cow's farts the worst for the planet?' Children's climate questions answered,"The writer is implying that children have questions about climate change
",t5_large,real
"You Are the Heroes,' Comedians Tell Clinicians, Part 2","The writer is implying that the comedians are proud of healthcare workers
",gpt2_large,real
"You Are the Heroes,' Comedians Tell Clinicians, Part 2","The writer is implying that doctors are heroes
",t5_base,real
"You Are the Heroes,' Comedians Tell Clinicians, Part 2","The writer is implying that the comedians appreciate the healthcare workers
",t5_large,real
"Treating COVID-19: Bipolar drug shows promise, other","The writer is implying that bipolar drugs might be able to treat covid
",gpt2_large,real
"Treating COVID-19: Bipolar drug shows promise, other","The writer is implying that there is a new treatment for covid
",t5_base,real
"Treating COVID-19: Bipolar drug shows promise, other","The writer is implying that there are new treatments for covid
",t5_large,real
Should Docs Stop Providing Routine Care in the Era of COVID-19?,"The writer is implying that doctors should not provide routine care
",gpt2_large,real
Should Docs Stop Providing Routine Care in the Era of COVID-19?,"The writer is implying that docs should stop providing routine care during the pandemic
",t5_base,real
Should Docs Stop Providing Routine Care in the Era of COVID-19?,"The writer is implying that doctors may not be able to provide routine care due to covid
",t5_large,real
Tory MP writes letter to The 1975 complaining they take flights but also support addressing climate change,"The writer is implying that tory mps are hypocritical
",gpt2_large,real
Tory MP writes letter to The 1975 complaining they take flights but also support addressing climate change,"The writer is implying that tory mp complains about taking flights
",t5_base,real
Tory MP writes letter to The 1975 complaining they take flights but also support addressing climate change,"The writer is implying that the tory mp supports climate change
",t5_large,real
COMMENTARY: Iranian Doctors 'Dance' to Defy Coronavirus,"The writer is implying that doctors in iran dance to defy covid restrictions
",gpt2_large,real
COMMENTARY: Iranian Doctors 'Dance' to Defy Coronavirus,"The writer is implying that doctors in iran care about covid
",t5_base,real
COMMENTARY: Iranian Doctors 'Dance' to Defy Coronavirus,"The writer is implying that iran doctors dance to fight covid
",t5_large,real
New York approves ambitious climate change plan to lead the US on environment,"The writer is implying that new york approved a climate change plan
",gpt2_large,real
New York approves ambitious climate change plan to lead the US on environment,"The writer is implying that ny approves climate change plan
",t5_base,real
New York approves ambitious climate change plan to lead the US on environment,"The writer is implying that new york approves climate change plan
",t5_large,real
Trump is skeptical of climate change report because of his aposhigh levels of intelligenceapos,"The writer is implying that the president doesn't believe in science
",gpt2_large,real
Trump is skeptical of climate change report because of his aposhigh levels of intelligenceapos,"The writer is implying that trump does not believe in climate change
",t5_base,real
Trump is skeptical of climate change report because of his aposhigh levels of intelligenceapos,"The writer is implying that trump doesn't believe in climate change
",t5_large,real
Climate change will cost US economy billions of dollars report finds,"The writer is implying that climate change is bad for the economy
",gpt2_large,real
Climate change will cost US economy billions of dollars report finds,"The writer is implying that climate change will cost us economy billions of dollars
",t5_base,real
Climate change will cost US economy billions of dollars report finds,"The writer is implying that climate change is costing the us economy billions of dollars
",t5_large,real
100 American Flight Attendants Have COVID-19,"The writer is implying that the pandemic is serious
",gpt2_large,real
100 American Flight Attendants Have COVID-19,"The writer is implying that covid is spreading in america
",t5_base,real
100 American Flight Attendants Have COVID-19,"The writer is implying that covid is spreading on flights
",t5_large,real
Leaders move past Trump to protect world from climate change,"The writer is implying that the president doesn't care about the environment
",gpt2_large,real
Leaders move past Trump to protect world from climate change,"The writer is implying that trump does not care about climate change
",t5_base,real
Leaders move past Trump to protect world from climate change,"The writer is implying that trump doesn't care about climate change
",t5_large,real
"Warming climate has grown UK economy 10% in past 50 years, but shrunk the poorest by a third, study says","The writer is implying that climate change is not real
",gpt2_large,real
"Warming climate has grown UK economy 10% in past 50 years, but shrunk the poorest by a third, study says","The writer is implying that climate change is hurting the poorest
",t5_base,real
"Warming climate has grown UK economy 10% in past 50 years, but shrunk the poorest by a third, study says","The writer is implying that the uk economy has grown due to climate change
",t5_large,real
"Netflix walruses were driven to death by polar bears not climate change, claims zoologist","The writer is implying that climate change isn't real
",gpt2_large,real
"Netflix walruses were driven to death by polar bears not climate change, claims zoologist","The writer is implying that polar bears are not caused by climate change
",t5_base,real
"Netflix walruses were driven to death by polar bears not climate change, claims zoologist","The writer is implying that polar bears are driven to death by climate change
",t5_large,real
Using My Music To Change My Environment Away From Gangs,"The writer is implying that people are using music to fight climate change
",gpt2_large,real
Using My Music To Change My Environment Away From Gangs,"The writer is implying that music is being used to change the environment
",t5_base,real
Using My Music To Change My Environment Away From Gangs,"The writer is implying that people are using music to change the environment
",t5_large,real
Teenage British Activist Stages Climate Protest on Arctic Ice Floe,"The writer is implying that the younger generation cares about climate change
",gpt2_large,real
Teenage British Activist Stages Climate Protest on Arctic Ice Floe,"The writer is implying that a teenager staged a climate protest
",t5_base,real
Teenage British Activist Stages Climate Protest on Arctic Ice Floe,"The writer is implying that teens are protesting climate change on ice floes
",t5_large,real
How to increase lung capacity: Simple exercises,"The writer is implying that there are simple ways to increase lung capacity
",gpt2_large,real
How to increase lung capacity: Simple exercises,"The writer is implying that there are ways to increase lung capacity
",t5_base,real
How to increase lung capacity: Simple exercises,"The writer is implying that exercises can increase lung capacity
",t5_large,real
"With California ablaze, Newsom blasts Trump administration for failing to fight climate change","The writer is implying that not all government officials are on the same page
",gpt2_large,real
"With California ablaze, Newsom blasts Trump administration for failing to fight climate change","The writer is implying that trump does not care about the environment
",t5_base,real
"With California ablaze, Newsom blasts Trump administration for failing to fight climate change","The writer is implying that california is burning due to climate change
",t5_large,real
Climate SOS: Five-year period ending 2019 to be hottest on record,"The writer is implying that the earth is heating up
",gpt2_large,real
Climate SOS: Five-year period ending 2019 to be hottest on record,"The writer is implying that the earth is getting hotter
",t5_base,real
Climate SOS: Five-year period ending 2019 to be hottest on record,"The writer is implying that climate change is real
",t5_large,real
COVID-19 Is More Severe in Smokers,"The writer is implying that smokers are more susceptible to covid
",gpt2_large,real
COVID-19 Is More Severe in Smokers,"The writer is implying that smokers are more vulnerable to covid
",t5_base,real
COVID-19 Is More Severe in Smokers,"The writer is implying that smokers are more at risk
",t5_large,real
Hospitals Put to Test as COVID-19 Strains ICUs,"The writer is implying that hospitals are testing for covid
",gpt2_large,real
Hospitals Put to Test as COVID-19 Strains ICUs,"The writer is implying that hospitals are being tested for covid
",t5_base,real
Hospitals Put to Test as COVID-19 Strains ICUs,"The writer is implying that covid is spreading in hospitals
",t5_large,real
"""Joe Biden says Trump admin isn't doing enough to protect workers from COVID-19""","The writer is implying that the government is not doing enough to protect workers
",gpt2_large,real
"""Joe Biden says Trump admin isn't doing enough to protect workers from COVID-19""","The writer is implying that biden says trump is not doing enough to protect workers
",t5_base,real
"""Joe Biden says Trump admin isn't doing enough to protect workers from COVID-19""","The writer is implying that biden says trump is not doing enough to protect workers from covid
",t5_large,real
Strategies for Optimizing the Supply of Isolation Gowns,"The writer is implying that isolation gowns can be used to treat covid
",gpt2_large,real
Strategies for Optimizing the Supply of Isolation Gowns,"The writer is implying that there is a shortage of isolation gowns
",t5_base,real
Strategies for Optimizing the Supply of Isolation Gowns,"The writer is implying that there are strategies to optimize the supply of isolation gowns
",t5_large,real
Protect your privacy and the environment while upgrading your gear,"The writer is implying that there are new ways to protect yourself
",gpt2_large,real
Protect your privacy and the environment while upgrading your gear,"The writer is implying that people should upgrade their gear
",t5_base,real
Protect your privacy and the environment while upgrading your gear,"The writer is implying that upgrading your gear is good for the environment
",t5_large,real
MPs and environmental groups accuse Theresa May of aposunforgivable betrayalapos on climate chan,"The writer is implying that the government is not doing enough to fight climate change
",gpt2_large,real
MPs and environmental groups accuse Theresa May of aposunforgivable betrayalapos on climate chan,"The writer is implying that mps and environmental groups accuse theresa may of betraying climate change
",t5_base,real
MPs and environmental groups accuse Theresa May of aposunforgivable betrayalapos on climate chan,"The writer is implying that the prime minister doesn't care about climate change
",t5_large,real
How to deal with the climate emergency? Ask your neighbor.,"The writer is implying that people can help
",gpt2_large,real
How to deal with the climate emergency? Ask your neighbor.,"The writer is implying that there are ways to deal with climate change
",t5_base,real
How to deal with the climate emergency? Ask your neighbor.,"The writer is implying that climate change is real
",t5_large,real
Climate Change Is A Risk To Our Existence - Labour Is Ready To Step Up And Protect The Planet,"The writer is implying that climate change is real
",gpt2_large,real
Climate Change Is A Risk To Our Existence - Labour Is Ready To Step Up And Protect The Planet,"The writer is implying that labour cares about the environment
",t5_base,real
Climate Change Is A Risk To Our Existence - Labour Is Ready To Step Up And Protect The Planet,"The writer is implying that labour cares about climate change
",t5_large,real
"Santa Clara County, California Community Mitigation","The writer is implying that california communities are doing a good job with the pandemic
",gpt2_large,real
"Santa Clara County, California Community Mitigation","The writer is implying that california has a community mitigation plan
",t5_base,real
"Santa Clara County, California Community Mitigation","The writer is implying that california is dealing with the pandemic
",t5_large,real
Forests 'in the front line of Ireland's response to climate change',"The writer is implying that forests are being harmed by climate change
",gpt2_large,real
Forests 'in the front line of Ireland's response to climate change',"The writer is implying that ireland cares about climate change
",t5_base,real
Forests 'in the front line of Ireland's response to climate change',"The writer is implying that ireland's forests are being affected by climate change
",t5_large,real
Kids are striking over climate change because adults are too infantile | Richard Russell,"The writer is implying that kids are striking against climate change
",gpt2_large,real
Kids are striking over climate change because adults are too infantile | Richard Russell,"The writer is implying that kids are striking over climate change because adults are too infantile
",t5_base,real
