id,sentence,inference,model,label,text
13,'It's no longer free to pollute': Canada imposes carbon tax on four provinces,"The writer is implying that canada is imposing a carbon tax
",t5_base,real,"Headline: 'It's no longer free to pollute': Canada imposes carbon tax on four provinces
Inference: The writer is implying that canada is imposing a carbon tax
"
14,'It's no longer free to pollute': Canada imposes carbon tax on four provinces,"The writer is implying that canada imposes carbon tax on four provinces
",t5_large,real,"Headline: 'It's no longer free to pollute': Canada imposes carbon tax on four provinces
Inference: The writer is implying that canada imposes carbon tax on four provinces
"
15,Durian rush creates thorny environmental problems in Malaysia,"The writer is implying that a country is creating problems for the environment
",gpt2_large,real,"Headline: Durian rush creates thorny environmental problems in Malaysia
Inference: The writer is implying that a country is creating problems for the environment
"
16,Durian rush creates thorny environmental problems in Malaysia,"The writer is implying that durian rush creates environmental problems in malaysia
",t5_base,real,"Headline: Durian rush creates thorny environmental problems in Malaysia
Inference: The writer is implying that durian rush creates environmental problems in malaysia
"
17,Durian rush creates thorny environmental problems in Malaysia,"The writer is implying that durian rush is bad for the environment in malaysia
",t5_large,real,"Headline: Durian rush creates thorny environmental problems in Malaysia
Inference: The writer is implying that durian rush is bad for the environment in malaysia
"
18,Lord Michael Heseltine: 'Chilling' similarities between 1930s and current political climate,"The writer is implying that climate change is similar to the 1930s
",gpt2_large,real,"Headline: Lord Michael Heseltine: 'Chilling' similarities between 1930s and current political climate
Inference: The writer is implying that climate change is similar to the 1930s
"
19,Lord Michael Heseltine: 'Chilling' similarities between 1930s and current political climate,"The writer is implying that heseltine thinks the political climate is similar
",t5_base,real,"Headline: Lord Michael Heseltine: 'Chilling' similarities between 1930s and current political climate
Inference: The writer is implying that heseltine thinks the political climate is similar
"
20,Lord Michael Heseltine: 'Chilling' similarities between 1930s and current political climate,"The writer is implying that the political climate is similar to 1930s
",t5_large,real,"Headline: Lord Michael Heseltine: 'Chilling' similarities between 1930s and current political climate
Inference: The writer is implying that the political climate is similar to 1930s
"
21,Earthrise: Youtubers Jack and Finn Harries join filmmaker Alice Aedy to launch new digital platform for younger generation of climate activists,"The writer is implying that younger generation cares about climate change
",gpt2_large,real,"Headline: Earthrise: Youtubers Jack and Finn Harries join filmmaker Alice Aedy to launch new digital platform for younger generation of climate activists
Inference: The writer is implying that younger generation cares about climate change
"
22,Earthrise: Youtubers Jack and Finn Harries join filmmaker Alice Aedy to launch new digital platform for younger generation of climate activists,"The writer is implying that jack and fin harries join together to create platform for younger climate activists
",t5_base,real,"Headline: Earthrise: Youtubers Jack and Finn Harries join filmmaker Alice Aedy to launch new digital platform for younger generation of climate activists
Inference: The writer is implying that jack and fin harries join together to create platform for younger climate activists
"
23,Earthrise: Youtubers Jack and Finn Harries join filmmaker Alice Aedy to launch new digital platform for younger generation of climate activists,"The writer is implying that the younger generation is more concerned about climate change
",t5_large,real,"Headline: Earthrise: Youtubers Jack and Finn Harries join filmmaker Alice Aedy to launch new digital platform for younger generation of climate activists
Inference: The writer is implying that the younger generation is more concerned about climate change
"
24,This Lab Aims to Prepare the U.S. Electricity Grid for a Climate Transformation,"The writer is implying that electric grid is being prepared for climate change
",gpt2_large,real,"Headline: This Lab Aims to Prepare the U.S. Electricity Grid for a Climate Transformation
Inference: The writer is implying that electric grid is being prepared for climate change
"
25,This Lab Aims to Prepare the U.S. Electricity Grid for a Climate Transformation,"The writer is implying that a lab wants to prepare the electric grid for a climate change transformation
",t5_base,real,"Headline: This Lab Aims to Prepare the U.S. Electricity Grid for a Climate Transformation
Inference: The writer is implying that a lab wants to prepare the electric grid for a climate change transformation
"
26,This Lab Aims to Prepare the U.S. Electricity Grid for a Climate Transformation,"The writer is implying that the grid will be prepared for a climate change
",t5_large,real,"Headline: This Lab Aims to Prepare the U.S. Electricity Grid for a Climate Transformation
Inference: The writer is implying that the grid will be prepared for a climate change
"
27,Mining Giant Glencore Turns From Coal to Climate-Friendly Assets,"The writer is implying that a mining company is turning away from coal
",gpt2_large,real,"Headline: Mining Giant Glencore Turns From Coal to Climate-Friendly Assets
Inference: The writer is implying that a mining company is turning away from coal
"
28,Mining Giant Glencore Turns From Coal to Climate-Friendly Assets,"The writer is implying that glencore cares about climate change
",t5_base,real,"Headline: Mining Giant Glencore Turns From Coal to Climate-Friendly Assets
Inference: The writer is implying that glencore cares about climate change
"
29,Mining Giant Glencore Turns From Coal to Climate-Friendly Assets,"The writer is implying that mining giant glencore cares about climate change
",t5_large,real,"Headline: Mining Giant Glencore Turns From Coal to Climate-Friendly Assets
Inference: The writer is implying that mining giant glencore cares about climate change
"
30,"COVID-19, Masks, and the ACA: 7 Takeaways from the Presidential Debate","The writer is implying that masks are important
",gpt2_large,real,"Headline: COVID-19, Masks, and the ACA: 7 Takeaways from the Presidential Debate
Inference: The writer is implying that masks are important
"
31,"COVID-19, Masks, and the ACA: 7 Takeaways from the Presidential Debate","The writer is implying that covid-19, masks, and the aca are important
",t5_base,real,"Headline: COVID-19, Masks, and the ACA: 7 Takeaways from the Presidential Debate
Inference: The writer is implying that covid-19, masks, and the aca are important
"
32,"COVID-19, Masks, and the ACA: 7 Takeaways from the Presidential Debate","The writer is implying that masks can help prevent covid
",t5_large,real,"Headline: COVID-19, Masks, and the ACA: 7 Takeaways from the Presidential Debate
Inference: The writer is implying that masks can help prevent covid
"
33,Siberian scientists plan to resume air studies of Arctic climate,"The writer is implying that scientists are going back to work
",gpt2_large,real,"Headline: Siberian scientists plan to resume air studies of Arctic climate
Inference: The writer is implying that scientists are going back to work
"
34,Siberian scientists plan to resume air studies of Arctic climate,"The writer is implying that siberian scientists are interested in climate change
",t5_base,real,"Headline: Siberian scientists plan to resume air studies of Arctic climate
Inference: The writer is implying that siberian scientists are interested in climate change
"
35,Siberian scientists plan to resume air studies of Arctic climate,"The writer is implying that siberian scientists plan to resume air studies of arctic climate
",t5_large,real,"Headline: Siberian scientists plan to resume air studies of Arctic climate
Inference: The writer is implying that siberian scientists plan to resume air studies of arctic climate
"
36,Forest size of Yorkshire must be planted for UK to meet its climate targets scientists warn,"The writer is implying that the government needs to plant more trees
",gpt2_large,real,"Headline: Forest size of Yorkshire must be planted for UK to meet its climate targets scientists warn
Inference: The writer is implying that the government needs to plant more trees
"
37,Forest size of Yorkshire must be planted for UK to meet its climate targets scientists warn,"The writer is implying that uk needs to plant more trees to meet climate targets
",t5_base,real,"Headline: Forest size of Yorkshire must be planted for UK to meet its climate targets scientists warn
Inference: The writer is implying that uk needs to plant more trees to meet climate targets
"
38,Forest size of Yorkshire must be planted for UK to meet its climate targets scientists warn,"The writer is implying that the uk needs to plant more trees to fight climate change
",t5_large,real,"Headline: Forest size of Yorkshire must be planted for UK to meet its climate targets scientists warn
Inference: The writer is implying that the uk needs to plant more trees to fight climate change
"
39,"Novel COVID-19 survey takes nation's social, mental ""Pulse""","The writer is implying that covid statistics are being taken seriously
",gpt2_large,real,"Headline: Novel COVID-19 survey takes nation's social, mental ""Pulse""
Inference: The writer is implying that covid statistics are being taken seriously
"
40,"Novel COVID-19 survey takes nation's social, mental ""Pulse""","The writer is implying that the pandemic is affecting society negatively
",t5_base,real,"Headline: Novel COVID-19 survey takes nation's social, mental ""Pulse""
Inference: The writer is implying that the pandemic is affecting society negatively
"
41,"Novel COVID-19 survey takes nation's social, mental ""Pulse""","The writer is implying that society's mental health is being affected by covid
",t5_large,real,"Headline: Novel COVID-19 survey takes nation's social, mental ""Pulse""
Inference: The writer is implying that society's mental health is being affected by covid
"
42,New Zealand asks visitors to pledge to protect environment amid concerns over impact of tourism,"The writer is implying that new zealand is concerned about climate change
",gpt2_large,real,"Headline: New Zealand asks visitors to pledge to protect environment amid concerns over impact of tourism
Inference: The writer is implying that new zealand is concerned about climate change
"
43,New Zealand asks visitors to pledge to protect environment amid concerns over impact of tourism,"The writer is implying that new zealand wants people to take action on climate change
",t5_base,real,"Headline: New Zealand asks visitors to pledge to protect environment amid concerns over impact of tourism
Inference: The writer is implying that new zealand wants people to take action on climate change
"
44,New Zealand asks visitors to pledge to protect environment amid concerns over impact of tourism,"The writer is implying that new zealand cares about the environment
",t5_large,real,"Headline: New Zealand asks visitors to pledge to protect environment amid concerns over impact of tourism
Inference: The writer is implying that new zealand cares about the environment
"
45,Climate Disruption Is Now Locked In. The Next Moves Will Be Crucial.,"The writer is implying that climate change is happening
",gpt2_large,real,"Headline: Climate Disruption Is Now Locked In. The Next Moves Will Be Crucial.
Inference: The writer is implying that climate change is happening
"
46,Climate Disruption Is Now Locked In. The Next Moves Will Be Crucial.,"The writer is implying that climate change is a serious issue
",t5_base,real,"Headline: Climate Disruption Is Now Locked In. The Next Moves Will Be Crucial.
Inference: The writer is implying that climate change is a serious issue
"
47,Climate Disruption Is Now Locked In. The Next Moves Will Be Crucial.,"The writer is implying that climate change is a priority
",t5_large,real,"Headline: Climate Disruption Is Now Locked In. The Next Moves Will Be Crucial.
Inference: The writer is implying that climate change is a priority
"
48,General election 2019: Greens call for 100bn a year for climate action,"The writer is implying that the green party wants to spend money on climate change
",gpt2_large,real,"Headline: General election 2019: Greens call for 100bn a year for climate action
Inference: The writer is implying that the green party wants to spend money on climate change
"
49,General election 2019: Greens call for 100bn a year for climate action,"The writer is implying that greens want to spend more on climate change
",t5_base,real,"Headline: General election 2019: Greens call for 100bn a year for climate action
Inference: The writer is implying that greens want to spend more on climate change
"
50,General election 2019: Greens call for 100bn a year for climate action,"The writer is implying that the greens care about climate change
",t5_large,real,"Headline: General election 2019: Greens call for 100bn a year for climate action
Inference: The writer is implying that the greens care about climate change
"
51,COVIDTracer 1.0,"The writer is implying that there is a covid-19 tracer
",gpt2_large,real,"Headline: COVIDTracer 1.0
Inference: The writer is implying that there is a covid-19 tracer
"
52,COVIDTracer 1.0,"The writer is implying that there is a new tool to help with covid
",t5_base,real,"Headline: COVIDTracer 1.0
Inference: The writer is implying that there is a new tool to help with covid
"
53,COVIDTracer 1.0,"The writer is implying that a new version of covid is available
",t5_large,real,"Headline: COVIDTracer 1.0
Inference: The writer is implying that a new version of covid is available
"
54,Commentary We Should Prepare for Climate Change Like We Prepare for War,"The writer is implying that we should prepare for climate change like we prepare for war
",gpt2_large,real,"Headline: Commentary We Should Prepare for Climate Change Like We Prepare for War
Inference: The writer is implying that we should prepare for climate change like we prepare for war
"
55,Commentary We Should Prepare for Climate Change Like We Prepare for War,"The writer is implying that we should prepare for climate change like we do for war
",t5_base,real,"Headline: Commentary We Should Prepare for Climate Change Like We Prepare for War
Inference: The writer is implying that we should prepare for climate change like we do for war
"
56,Commentary We Should Prepare for Climate Change Like We Prepare for War,"The writer is implying that climate change is real
",t5_large,real,"Headline: Commentary We Should Prepare for Climate Change Like We Prepare for War
Inference: The writer is implying that climate change is real
"
57,"Elizabeth Warren's Climate Justice Plan Aims To Keep Water Public, Study Pollution More","The writer is implying that elizabeth warren wants to keep water public
",gpt2_large,real,"Headline: Elizabeth Warren's Climate Justice Plan Aims To Keep Water Public, Study Pollution More
Inference: The writer is implying that elizabeth warren wants to keep water public
"
58,"Elizabeth Warren's Climate Justice Plan Aims To Keep Water Public, Study Pollution More","The writer is implying that elizabeth warren wants to keep water public and study pollution more
",t5_base,real,"Headline: Elizabeth Warren's Climate Justice Plan Aims To Keep Water Public, Study Pollution More
Inference: The writer is implying that elizabeth warren wants to keep water public and study pollution more
"
59,"Elizabeth Warren's Climate Justice Plan Aims To Keep Water Public, Study Pollution More","The writer is implying that warren's climate justice plan will keep water public
",t5_large,real,"Headline: Elizabeth Warren's Climate Justice Plan Aims To Keep Water Public, Study Pollution More
Inference: The writer is implying that warren's climate justice plan will keep water public
"
60,Oklahoma Gov. Sitt Tests Positive for COVID-19,"The writer is implying that a government official got covid
",gpt2_large,real,"Headline: Oklahoma Gov. Sitt Tests Positive for COVID-19
Inference: The writer is implying that a government official got covid
"
61,Oklahoma Gov. Sitt Tests Positive for COVID-19,"The writer is implying that oklahoma governor sitt tested positive
",t5_base,real,"Headline: Oklahoma Gov. Sitt Tests Positive for COVID-19
Inference: The writer is implying that oklahoma governor sitt tested positive
"
62,Oklahoma Gov. Sitt Tests Positive for COVID-19,"The writer is implying that the governor of ok was infected with covid
",t5_large,real,"Headline: Oklahoma Gov. Sitt Tests Positive for COVID-19
Inference: The writer is implying that the governor of ok was infected with covid
"
63,Most Americans accept that climate change is real and worrying,"The writer is implying that society cares about climate change
",gpt2_large,real,"Headline: Most Americans accept that climate change is real and worrying
Inference: The writer is implying that society cares about climate change
"
64,Most Americans accept that climate change is real and worrying,"The writer is implying that most americans believe climate change is real
",t5_base,real,"Headline: Most Americans accept that climate change is real and worrying
Inference: The writer is implying that most americans believe climate change is real
"
65,Most Americans accept that climate change is real and worrying,"The writer is implying that most americans accept that climate change is real
",t5_large,real,"Headline: Most Americans accept that climate change is real and worrying
Inference: The writer is implying that most americans accept that climate change is real
"
66,Cancer Screening Delays May Cause Spike in Deaths,"The writer is implying that covid-19 screening is harmful
",gpt2_large,real,"Headline: Cancer Screening Delays May Cause Spike in Deaths
Inference: The writer is implying that covid-19 screening is harmful
"
67,Cancer Screening Delays May Cause Spike in Deaths,"The writer is implying that the pandemic is getting worse
",t5_base,real,"Headline: Cancer Screening Delays May Cause Spike in Deaths
Inference: The writer is implying that the pandemic is getting worse
"
68,Cancer Screening Delays May Cause Spike in Deaths,"The writer is implying that cancer screenings are being delayed due to covid
",t5_large,real,"Headline: Cancer Screening Delays May Cause Spike in Deaths
Inference: The writer is implying that cancer screenings are being delayed due to covid
"
69,UN Secretary-General warns of 'critical juncture' in fight against climate change at COP25,"The writer is implying that the un is worried about climate change
",gpt2_large,real,"Headline: UN Secretary-General warns of 'critical juncture' in fight against climate change at COP25
Inference: The writer is implying that the un is worried about climate change
"
70,UN Secretary-General warns of 'critical juncture' in fight against climate change at COP25,"The writer is implying that un secretary-general warns of a critical moment in fight against climate change
",t5_base,real,"Headline: UN Secretary-General warns of 'critical juncture' in fight against climate change at COP25
Inference: The writer is implying that un secretary-general warns of a critical moment in fight against climate change
"
71,UN Secretary-General warns of 'critical juncture' in fight against climate change at COP25,"The writer is implying that the un is concerned about climate change
",t5_large,real,"Headline: UN Secretary-General warns of 'critical juncture' in fight against climate change at COP25
Inference: The writer is implying that the un is concerned about climate change
"
72,NYC COVID-19 Deaths During Peak Rivaled 1918 Flu Fatalities,"The writer is implying that covid is more deadly than flu
",gpt2_large,real,"Headline: NYC COVID-19 Deaths During Peak Rivaled 1918 Flu Fatalities
Inference: The writer is implying that covid is more deadly than flu
"
73,NYC COVID-19 Deaths During Peak Rivaled 1918 Flu Fatalities,"The writer is implying that covid death rates are higher than in 1918
",t5_base,real,"Headline: NYC COVID-19 Deaths During Peak Rivaled 1918 Flu Fatalities
Inference: The writer is implying that covid death rates are higher than in 1918
"
74,NYC COVID-19 Deaths During Peak Rivaled 1918 Flu Fatalities,"The writer is implying that the pandemic is dangerous
",t5_large,real,"Headline: NYC COVID-19 Deaths During Peak Rivaled 1918 Flu Fatalities
Inference: The writer is implying that the pandemic is dangerous
"
75,"Flu Taking a Toll, Pediatric Deaths Hit 17-Year High","The writer is implying that the flu is dangerous
",gpt2_large,real,"Headline: Flu Taking a Toll, Pediatric Deaths Hit 17-Year High
Inference: The writer is implying that the flu is dangerous
"
76,"Flu Taking a Toll, Pediatric Deaths Hit 17-Year High","The writer is implying that the flu is dangerous for children
",t5_base,real,"Headline: Flu Taking a Toll, Pediatric Deaths Hit 17-Year High
Inference: The writer is implying that the flu is dangerous for children
"
77,"Flu Taking a Toll, Pediatric Deaths Hit 17-Year High","The writer is implying that the flu is killing children
",t5_large,real,"Headline: Flu Taking a Toll, Pediatric Deaths Hit 17-Year High
Inference: The writer is implying that the flu is killing children
"
78,Alaska's new climate threat: tsunamis linked to melting permafrost,"The writer is implying that climate change is real
",gpt2_large,real,"Headline: Alaska's new climate threat: tsunamis linked to melting permafrost
Inference: The writer is implying that climate change is real
"
79,Alaska's new climate threat: tsunamis linked to melting permafrost,"The writer is implying that the permafrost is melting due to climate change
",t5_base,real,"Headline: Alaska's new climate threat: tsunamis linked to melting permafrost
Inference: The writer is implying that the permafrost is melting due to climate change
"
80,Alaska's new climate threat: tsunamis linked to melting permafrost,"The writer is implying that melting permafrost is causing tsunamis
",t5_large,real,"Headline: Alaska's new climate threat: tsunamis linked to melting permafrost
Inference: The writer is implying that melting permafrost is causing tsunamis
"
81,Can the catastrophic fires bring some sanity to Australian climate politics?,"The writer is implying that wildfires in australia are a result of climate change
",gpt2_large,real,"Headline: Can the catastrophic fires bring some sanity to Australian climate politics?
Inference: The writer is implying that wildfires in australia are a result of climate change
"
82,Can the catastrophic fires bring some sanity to Australian climate politics?,"The writer is implying that wildfires are affecting australian politics
",t5_base,real,"Headline: Can the catastrophic fires bring some sanity to Australian climate politics?
Inference: The writer is implying that wildfires are affecting australian politics
"
83,Can the catastrophic fires bring some sanity to Australian climate politics?,"The writer is implying that wildfires are caused by climate change in australia
",t5_large,real,"Headline: Can the catastrophic fires bring some sanity to Australian climate politics?
Inference: The writer is implying that wildfires are caused by climate change in australia
"
84,"Meddling Monarchs, Terrorism and Climate ChangeBankers Would Like Investors to Ignore These Concerns Looming Over Saudi Aramco IPO","The writer is implying that climate change is a hoax
",gpt2_large,real,"Headline: Meddling Monarchs, Terrorism and Climate ChangeBankers Would Like Investors to Ignore These Concerns Looming Over Saudi Aramco IPO
Inference: The writer is implying that climate change is a hoax
"
85,"Meddling Monarchs, Terrorism and Climate ChangeBankers Would Like Investors to Ignore These Concerns Looming Over Saudi Aramco IPO","The writer is implying that investors are worried about climate change and monarchs
",t5_base,real,"Headline: Meddling Monarchs, Terrorism and Climate ChangeBankers Would Like Investors to Ignore These Concerns Looming Over Saudi Aramco IPO
Inference: The writer is implying that investors are worried about climate change and monarchs
"
86,"Meddling Monarchs, Terrorism and Climate ChangeBankers Would Like Investors to Ignore These Concerns Looming Over Saudi Aramco IPO","The writer is implying that the iraqian government doesn't care about climate change
",t5_large,real,"Headline: Meddling Monarchs, Terrorism and Climate ChangeBankers Would Like Investors to Ignore These Concerns Looming Over Saudi Aramco IPO
Inference: The writer is implying that the iraqian government doesn't care about climate change
"
87,GOP Climate Change Denial Set The Stage For Trump's Coronavirus Conspiracies,"The writer is implying that trump is a climate change denier
",gpt2_large,real,"Headline: GOP Climate Change Denial Set The Stage For Trump's Coronavirus Conspiracies
Inference: The writer is implying that trump is a climate change denier
"
88,GOP Climate Change Denial Set The Stage For Trump's Coronavirus Conspiracies,"The writer is implying that republicans don't believe in climate change
",t5_base,real,"Headline: GOP Climate Change Denial Set The Stage For Trump's Coronavirus Conspiracies
Inference: The writer is implying that republicans don't believe in climate change
"
89,GOP Climate Change Denial Set The Stage For Trump's Coronavirus Conspiracies,"The writer is implying that trump is lying about climate change
",t5_large,real,"Headline: GOP Climate Change Denial Set The Stage For Trump's Coronavirus Conspiracies
Inference: The writer is implying that trump is lying about climate change
"
90,Mounting Climate Impacts Threaten U.S. Nuclear Reactors,"The writer is implying that nuclear energy is bad for the environment
",gpt2_large,real,"Headline: Mounting Climate Impacts Threaten U.S. Nuclear Reactors
Inference: The writer is implying that nuclear energy is bad for the environment
"
91,Mounting Climate Impacts Threaten U.S. Nuclear Reactors,"The writer is implying that nuclear reactors are being damaged by climate change
",t5_base,real,"Headline: Mounting Climate Impacts Threaten U.S. Nuclear Reactors
Inference: The writer is implying that nuclear reactors are being damaged by climate change
"
92,Mounting Climate Impacts Threaten U.S. Nuclear Reactors,"The writer is implying that nuclear power is being affected by climate change
",t5_large,real,"Headline: Mounting Climate Impacts Threaten U.S. Nuclear Reactors
Inference: The writer is implying that nuclear power is being affected by climate change
"
93,Herd Immunity Threshold Could Be As Low As 43%,"The writer is implying that herd immunity might be low
",gpt2_large,real,"Headline: Herd Immunity Threshold Could Be As Low As 43%
Inference: The writer is implying that herd immunity might be low
"
94,Herd Immunity Threshold Could Be As Low As 43%,"The writer is implying that herd immunity might be as low as 43%
",t5_base,real,"Headline: Herd Immunity Threshold Could Be As Low As 43%
Inference: The writer is implying that herd immunity might be as low as 43%
"
95,Herd Immunity Threshold Could Be As Low As 43%,"The writer is implying that herd immunity threshold could be low
",t5_large,real,"Headline: Herd Immunity Threshold Could Be As Low As 43%
Inference: The writer is implying that herd immunity threshold could be low
"
96,"Over 31,000 scientists signed the OISM Petition Project.","The writer is implying that scientists believe in climate change
",gpt2_large,real,"Headline: Over 31,000 scientists signed the OISM Petition Project.
Inference: The writer is implying that scientists believe in climate change
"
97,"Over 31,000 scientists signed the OISM Petition Project.","The writer is implying that scientists signed the oism petition
",t5_base,real,"Headline: Over 31,000 scientists signed the OISM Petition Project.
Inference: The writer is implying that scientists signed the oism petition
"
98,"Over 31,000 scientists signed the OISM Petition Project.","The writer is implying that scientists are concerned about covid
",t5_large,real,"Headline: Over 31,000 scientists signed the OISM Petition Project.
Inference: The writer is implying that scientists are concerned about covid
"
99,Early CDC COVID-19 Test Kits 'Likely Contaminated',"The writer is implying that covid 19 tests are unsafe
",gpt2_large,real,"Headline: Early CDC COVID-19 Test Kits 'Likely Contaminated'
Inference: The writer is implying that covid 19 tests are unsafe
"
100,Early CDC COVID-19 Test Kits 'Likely Contaminated',"The writer is implying that early cdc covid-19 test kits were likely contagious
",t5_base,real,"Headline: Early CDC COVID-19 Test Kits 'Likely Contaminated'
Inference: The writer is implying that early cdc covid-19 test kits were likely contagious
"
101,Early CDC COVID-19 Test Kits 'Likely Contaminated',"The writer is implying that early cdc covid-19 test kits are likely to contain covid
",t5_large,real,"Headline: Early CDC COVID-19 Test Kits 'Likely Contaminated'
Inference: The writer is implying that early cdc covid-19 test kits are likely to contain covid
"
102,"Top Environmental Group Faces Upheaval Over Board's Ties To Jeffrey Epstein, Trump","The writer is implying that the epa is corrupt
",gpt2_large,real,"Headline: Top Environmental Group Faces Upheaval Over Board's Ties To Jeffrey Epstein, Trump
Inference: The writer is implying that the epa is corrupt
"
103,"Top Environmental Group Faces Upheaval Over Board's Ties To Jeffrey Epstein, Trump","The writer is implying that trump and jeff epstein have different views on climate change
",t5_base,real,"Headline: Top Environmental Group Faces Upheaval Over Board's Ties To Jeffrey Epstein, Trump
Inference: The writer is implying that trump and jeff epstein have different views on climate change
"
104,"Top Environmental Group Faces Upheaval Over Board's Ties To Jeffrey Epstein, Trump","The writer is implying that trump is bad for the environment
",t5_large,real,"Headline: Top Environmental Group Faces Upheaval Over Board's Ties To Jeffrey Epstein, Trump
Inference: The writer is implying that trump is bad for the environment
"
105,"When Loved One Is in ICU, Spouse Sees Health Risks","The writer is implying that covid-19 can be transmitted through loved ones
",gpt2_large,real,"Headline: When Loved One Is in ICU, Spouse Sees Health Risks
Inference: The writer is implying that covid-19 can be transmitted through loved ones
"
106,"When Loved One Is in ICU, Spouse Sees Health Risks","The writer is implying that icu is dangerous for spouses
",t5_base,real,"Headline: When Loved One Is in ICU, Spouse Sees Health Risks
Inference: The writer is implying that icu is dangerous for spouses
"
107,"When Loved One Is in ICU, Spouse Sees Health Risks","The writer is implying that a loved one is in the icu
",t5_large,real,"Headline: When Loved One Is in ICU, Spouse Sees Health Risks
Inference: The writer is implying that a loved one is in the icu
"
108,60% of Americans Have an Underlying Condition That Increases COVID-19 Risk,"The writer is implying that many people have underlying conditions that increase covid risk
",gpt2_large,real,"Headline: 60% of Americans Have an Underlying Condition That Increases COVID-19 Risk
Inference: The writer is implying that many people have underlying conditions that increase covid risk
"
109,60% of Americans Have an Underlying Condition That Increases COVID-19 Risk,"The writer is implying that some people are more susceptible to covid than others
",t5_base,real,"Headline: 60% of Americans Have an Underlying Condition That Increases COVID-19 Risk
Inference: The writer is implying that some people are more susceptible to covid than others
"
110,60% of Americans Have an Underlying Condition That Increases COVID-19 Risk,"The writer is implying that most americans have underlying conditions that make them more susceptible to covid
",t5_large,real,"Headline: 60% of Americans Have an Underlying Condition That Increases COVID-19 Risk
Inference: The writer is implying that most americans have underlying conditions that make them more susceptible to covid
"
111,Scientists to study how Arctic's oil-polluted soil reacts to climate change,"The writer is implying that scientists are studying how the arctic's oil pollution is reacting to climate change
",gpt2_large,real,"Headline: Scientists to study how Arctic's oil-polluted soil reacts to climate change
Inference: The writer is implying that scientists are studying how the arctic's oil pollution is reacting to climate change
"
112,Scientists to study how Arctic's oil-polluted soil reacts to climate change,"The writer is implying that the arctic's oil-polluted soil reacts to climate change
",t5_base,real,"Headline: Scientists to study how Arctic's oil-polluted soil reacts to climate change
Inference: The writer is implying that the arctic's oil-polluted soil reacts to climate change
"
113,Scientists to study how Arctic's oil-polluted soil reacts to climate change,"The writer is implying that soil in the arctic is being affected by climate change
",t5_large,real,"Headline: Scientists to study how Arctic's oil-polluted soil reacts to climate change
Inference: The writer is implying that soil in the arctic is being affected by climate change
"
